,gammacontrol,gammaketamine,rec,ext
0,2.7551735917685267,2.7551735917685267,1.0,1.0
1,3.142629637140765,3.7706795259388888,1.0,1.25
2,3.4712531320934374,3.1167582296144203,1.0,1.5
3,3.4970720689103367,4.106540113729217,1.0,1.75
4,2.4192626735799987,2.789994953508389,1.25,1.0
5,2.896835098643476,3.6092842068235287,1.25,1.25
6,3.280642759821076,3.4946133335779512,1.25,1.5
7,2.407761738667525,3.1275823413239103,1.25,1.75
8,2.812670676986373,3.1414792445103306,1.5,1.0
9,2.8350552356187038,3.1023637759907357,1.5,1.25
10,1.5169789491410053,3.3605008093876747,1.5,1.5
11,3.20285458178522,3.7587091672956645,1.5,1.75
12,2.7010158968694054,3.1539407390086227,1.75,1.0
13,2.917424324059582,3.2017151576207663,1.75,1.25
14,2.837606501343759,3.6822911738715716,1.75,1.5
15,3.0213353947595296,3.581618376230933,1.75,1.75
16,2.72450687154647,2.72450687154647,1.0,1.0
17,1.6764976946230694,3.2968129407278868,1.0,1.25
18,3.1027917870305344,3.6879967357454824,1.0,1.5
19,2.993448113691545,3.9481270317383794,1.0,1.75
20,2.4367712326575592,3.3625772942427172,1.25,1.0
21,2.3729218038534334,3.2638830302869763,1.25,1.25
22,2.8493402716834186,3.436495672745888,1.25,1.5
23,2.7996957818495702,4.0918427253098075,1.25,1.75
24,1.819782387555394,3.1894353073015447,1.5,1.0
25,2.5099546724910486,3.3679777621249203,1.5,1.25
26,3.5904542896401535,3.148971013732039,1.5,1.5
27,1.5145008068408843,3.535439043913987,1.5,1.75
28,2.9181805284020186,3.169126960402732,1.75,1.0
29,3.2530978786194997,3.6593423660827975,1.75,1.25
30,1.653575155558086,3.58776447331501,1.75,1.5
31,2.7852862146652404,2.4720234789248594,1.75,1.75
32,2.8929233604522597,2.8929233604522597,1.0,1.0
33,2.4838793516764297,3.471926562609613,1.0,1.25
34,2.2921065822364124,3.28198395541422,1.0,1.5
35,2.7345812513601273,3.560492972398849,1.0,1.75
36,2.993790907299749,3.0528014242840915,1.25,1.0
37,2.4662102830781234,3.487773869783166,1.25,1.25
38,2.4673404292362555,3.8178534618512905,1.25,1.5
39,3.0512656948078605,3.9514952914095645,1.25,1.75
40,2.735465689088384,2.2724051181285905,1.5,1.0
41,3.268843141177372,3.6019553181335144,1.5,1.25
42,2.87318907377711,3.7971116012328157,1.5,1.5
43,3.032648172488534,4.106344612902643,1.5,1.75
44,3.0944821180317876,2.5026229010292087,1.75,1.0
45,2.6087971958650207,3.319251585912553,1.75,1.25
46,2.569094545905242,3.720990383064838,1.75,1.5
47,2.343657492391096,4.062514645440924,1.75,1.75
48,2.6751248569972286,2.6751248569972286,1.0,1.0
49,3.291951657389929,3.2023677867474074,1.0,1.25
50,2.840038621380596,3.7171693913062884,1.0,1.5
51,2.9765033183013396,3.921814401444689,1.0,1.75
52,3.3571732558991507,2.967206905108025,1.25,1.0
53,2.3053726883233705,3.3324368491888827,1.25,1.25
54,2.13770789823767,3.2586594627692054,1.25,1.5
55,3.0065812574882247,3.71838546474256,1.25,1.75
56,2.0204092654273254,3.1890480707115114,1.5,1.0
57,2.4944295695045544,3.476482363988333,1.5,1.25
58,2.2596085437192355,3.7972887176478207,1.5,1.5
59,2.442545227166917,4.016165407857567,1.5,1.75
60,3.276083895485208,2.5340149555193094,1.75,1.0
61,3.071539014471523,3.6139668971277956,1.75,1.25
62,3.0478229748114276,3.8564523371603814,1.75,1.5
63,2.21701217624633,2.896341392895504,1.75,1.75
64,3.174754786721198,3.174754786721198,1.0,1.0
65,2.817906347194803,3.260226111273046,1.0,1.25
66,3.1165366294003745,3.748090708434487,1.0,1.5
67,2.7036779540269724,4.0541220256117745,1.0,1.75
68,3.3847107383917274,2.6673690948238464,1.25,1.0
69,3.409665502368415,3.359013134355734,1.25,1.25
70,2.918831138231258,3.196818831758902,1.25,1.5
71,2.3907975579628724,3.8420892903983437,1.25,1.75
72,1.712201842876496,2.4401606012243207,1.5,1.0
73,3.2346384832540975,3.1578739076484195,1.5,1.25
74,2.913422203198499,3.735991553268763,1.5,1.5
75,2.4534191533699916,2.993042320998543,1.5,1.75
76,1.4570214673926054,1.7135858332487608,1.75,1.0
77,3.0963837363090505,2.496876648251523,1.75,1.25
78,2.9763593868731393,3.5754570938242343,1.75,1.5
79,2.657185834568077,3.3766531452507436,1.75,1.75
80,3.004869309672274,3.004869309672274,1.0,1.0
81,2.878957316333257,2.846128825308232,1.0,1.25
82,2.6851328632775253,3.8119920879208573,1.0,1.5
83,2.836198658761404,3.748204716669704,1.0,1.75
84,1.783054731731516,3.3609497320403214,1.25,1.0
85,2.5500078647228164,3.3426359336813225,1.25,1.25
86,2.913641321645082,3.2690590039788594,1.25,1.5
87,3.202429842984307,3.741757938094863,1.25,1.75
88,3.235672440563139,2.837239127852324,1.5,1.0
89,2.037280136551339,3.5082438668256772,1.5,1.25
90,2.1276955969706433,3.2419161579073354,1.5,1.5
91,2.676756627199978,3.551482451223387,1.5,1.75
92,3.1174419320969955,2.1496449476776425,1.75,1.0
93,2.813390172685844,2.9148398686424644,1.75,1.25
94,2.903762170043481,4.273027291546724,1.75,1.5
95,3.39556166198279,4.1693251195499705,1.75,1.75
96,3.0114705982576035,3.0114705982576035,1.0,1.0
97,2.3925464964452496,2.6617003820962393,1.0,1.25
98,3.2728135833989884,3.646007700619901,1.0,1.5
99,2.8109109047530176,3.3068434772927833,1.0,1.75
100,2.8594884694508367,3.297310378692152,1.25,1.0
101,3.0762161973477706,2.7837768525293853,1.25,1.25
102,2.236402450749483,3.6935799886230907,1.25,1.5
103,2.7658810477180107,4.099425276552836,1.25,1.75
104,3.47532974434968,2.7887675747040257,1.5,1.0
105,2.977850855934094,3.3399591394990797,1.5,1.25
106,3.1749187427722365,3.578230444440344,1.5,1.5
107,3.089632279946068,4.049675643092911,1.5,1.75
